,Nombre,Precio,Precio por m2
127,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
128,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
129,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
130,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
131,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
132,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
133,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
134,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
135,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
136,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
137,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
138,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
139,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
140,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
141,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
142,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
143,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
144,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
145,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
146,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
